file_name,relative_path,source_system,source_batch,status,notes
ep-04_qumran-context-plate_v01.png,02-historical-context/ep-04_qumran-context-plate_v01.png,Gemini,/Users/jewelbait/.gemini/antigravity/brain/1db46391-089a-4a1c-a8f7-67cf2996b459,placed,Qumran orientation plate.
ep-04_cave-4-fragments_v01.png,02-historical-context/ep-04_cave-4-fragments_v01.png,Gemini,/Users/jewelbait/.gemini/antigravity/brain/1db46391-089a-4a1c-a8f7-67cf2996b459,placed,Cave preservation contrast plate.
ep-04_cave-1-jars_v01.png,02-historical-context/ep-04_cave-1-jars_v01.png,Gemini,/Users/jewelbait/.gemini/antigravity/brain/1db46391-089a-4a1c-a8f7-67cf2996b459,placed,Cave preservation contrast plate.
ep-04_scroll-fragment-archive_v01.png,02-historical-context/ep-04_scroll-fragment-archive_v01.png,Gemini,/Users/jewelbait/.gemini/antigravity/brain/1db46391-089a-4a1c-a8f7-67cf2996b459,placed,Scroll-fragment archive support plate.
ep-04_disaster-recovery-plate_v01.png,02-historical-context/ep-04_disaster-recovery-plate_v01.png,Gemini,/Users/jewelbait/.gemini/antigravity/brain/1db46391-089a-4a1c-a8f7-67cf2996b459,placed,Preservation-before-catastrophe plate.
ep-04_1enoch-preservation-plate_v01.png,02-historical-context/ep-04_1enoch-preservation-plate_v01.png,Gemini,/Users/jewelbait/.gemini/antigravity/brain/1db46391-089a-4a1c-a8f7-67cf2996b459,placed,Enoch preservation support plate.
ep-04_ethiopian-continuity-plate_v01.png,02-historical-context/ep-04_ethiopian-continuity-plate_v01.png,Gemini,/Users/jewelbait/.gemini/antigravity/brain/1db46391-089a-4a1c-a8f7-67cf2996b459,placed,Ethiopian continuity support plate.
